id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
570124822555104459,"Upscale Penthouse,3beds,Kitchen onNewbury St",230047699,Sangthip,,Back Bay,42.34818,-71.08372,Entire home/apt,525,1,40,2022-09-11,6.67,2,294,40,STR-470242
570980045884661327,Spacious 1-BR Apartment - Near Harvard/MIT/MBTA,446952127,Yan,,Brighton,42.3608,-71.14287,Entire home/apt,154,1,60,2022-09-08,9.63,1,139,60,STR-467298
571172418540857039,Renovated 3 bedroom minutes to Downtown Boston!,64025178,Peter,,Dorchester,42.28852,-71.04049,Entire home/apt,270,2,26,2022-09-10,4.51,1,151,26,STR-468641
571592666563017657,Lovely 4 Bdrm Apt with Pool minutes from Boston,110135928,Kira,,Brighton,42.32087,-71.17323,Entire home/apt,150,80,0,,,1,235,0,
571774009721701553,5 - Gable Room Suite - (175 sq ft),34582410,Todd,,East Boston,42.387337,-70.973373,Private room,155,1,1,2022-09-04,1,5,360,1,
571824087217860472,2 - Jeremiah Suite & Private Deck  (180 sq ft),34582410,Todd,,East Boston,42.38633107475126,-70.97263857055495,Private room,199,1,3,2022-09-13,3,5,360,3,
571835303102795579,Beach & Boston - 3 Bedroom with King Bed,234574112,Shawn,,East Boston,42.3965,-70.98819,Entire home/apt,257,2,24,2022-09-10,5.50,1,137,24,
571836364520827616,1 - Lillian Suite -  Ocean View  (120 sq ft),34582410,Todd,,East Boston,42.3877433566683,-70.97420854286395,Private room,149,1,6,2022-09-04,6,5,343,6,
571845113465671243,Most lovely 3 bed room apt in beacon hill boston,373675137,Liya,,Beacon Hill,42.36103,-71.06518,Entire home/apt,150,29,0,,,76,332,0,
571850838934220996,3 - Emeline Suite - Fire Place Room (160 sq ft),34582410,Todd,,East Boston,42.38625098303217,-70.97270926990775,Private room,169,1,3,2022-09-11,3,5,360,3,
571858404553691392,6 - Oliver Suite - Ocean Views (175 sq ft),34582410,Todd,,East Boston,42.387337,-70.973373,Private room,155,1,1,2022-09-04,1,5,351,1,
571988432134426101,Beacon Hill studio1queensizeBed downtown boston,373675137,Liya,,Beacon Hill,42.36025,-71.06739,Entire home/apt,104,29,1,2022-05-01,0.22,76,319,1,
572325594010026667,Penthouse with the best views of Boston skylines.,208241385,Andrew,,Dorchester,42.3142,-71.06331,Entire home/apt,529,1,16,2022-09-11,2.76,1,154,16,STR-470580
573001187522927612,Cozy Studio with everything you need!,409684302,Justin And Mandy,,South End,42.34072,-71.07939,Entire home/apt,373,14,1,2022-08-04,0.70,32,327,1,Exempt: This listing is a hotel or motel
573071150979754437,New Allston development 1BR w. W/D,107434423,Blueground,,Allston,42.35297,-71.12965,Entire home/apt,202,32,0,,,477,276,0,
573071443078847367,New Allston development 1BR w. W/D,107434423,Blueground,,Allston,42.3529714,-71.1296495,Entire home/apt,207,32,0,,,477,268,0,
573071741863188412,New Allston development 1BR w. W/D,107434423,Blueground,,Allston,42.35297,-71.12965,Entire home/apt,193,32,0,,,477,329,0,
